job_role,skills,domain,required_skills,demand_level_india,experience_alignment
Lead Data Analyst,"programming, project planning, data analysis, customer service",Misc,"automation, programming, data analysis, problem solving, teamwork, security",High,Intermediate
Midwife,"networking, python, management, data analysis",Hospitality,"security, project planning, automation, networking, management, communication",High,Advanced
Principal Veterinarian,"problem solving, customer service, documentation, management",Education,"communication, management, machine learning, cloud computing, project planning, analytics",High,Intermediate
Senior Gynecologist,"data analysis, documentation, management, project planning",Transport,"data analysis, problem solving, design, documentation, communication, teamwork",High,Advanced
Junior Physiotherapist,"programming, teamwork, problem solving, machine learning",Agriculture,"cloud computing, research, networking, communication, management, automation",High,Beginner
Junior Occupational Therapist,"automation, communication, management, problem solving",Creative,"design, management, data analysis, customer service, documentation, communication",Medium,Advanced
Lead Gynecologist,"programming, communication, documentation, data analysis",Government,"machine learning, analytics, automation, project planning, customer service, python",Medium,Beginner
Assistant Backend Developer,"management, data analysis, cloud computing, security",Construction,"automation, documentation, design, project planning, machine learning, security",High,Intermediate
Senior Cardiologist,"communication, customer service, python, design",Business,"data analysis, communication, management, problem solving, python, teamwork",Medium,Intermediate
Lead Pediatrician,"security, communication, data analysis, research",Creative,"programming, documentation, analytics, machine learning, automation, design",Medium,Advanced
Junior Big Data Engineer,"customer service, cloud computing, teamwork, documentation",Transport,"automation, research, security, analytics, problem solving, python",High,Advanced
Dermatologist,"project planning, security, communication, customer service",Agriculture,"cloud computing, documentation, machine learning, communication, design, problem solving",High,Advanced
Junior Oncologist,"python, documentation, data analysis, project planning",Engineering,"teamwork, python, problem solving, data analysis, cloud computing, design",High,Beginner
Senior Paramedic,"communication, teamwork, documentation, project planning",Construction,"cloud computing, data analysis, management, automation, communication, customer service",Medium,Advanced
Web Designer,"teamwork, machine learning, communication, project planning",Transport,"security, cloud computing, machine learning, python, data analysis, automation",Medium,Advanced
Assistant Data Architect,"analytics, documentation, data analysis, programming",Government,"teamwork, programming, design, project planning, problem solving, analytics",Medium,Intermediate
Automation Engineer,"research, project planning, customer service, management",Education,"research, customer service, data analysis, communication, analytics, programming",Medium,Intermediate
Lead Medical Laboratory Technician,"project planning, research, cloud computing, security",Business,"teamwork, python, research, data analysis, cloud computing, programming",High,Intermediate
Embedded Systems Engineer,"management, teamwork, machine learning, python",Education,"analytics, documentation, cloud computing, security, project planning, management",Medium,Advanced
Lead Veterinarian,"automation, documentation, security, data analysis",Transport,"problem solving, documentation, research, communication, security, design",Medium,Beginner
Principal Pathologist,"data analysis, design, security, analytics",Government,"programming, communication, management, cloud computing, networking, customer service",High,Advanced
Junior Dermatologist,"teamwork, project planning, design, management",Healthcare,"documentation, project planning, networking, cloud computing, research, python",High,Advanced
Data Engineer,"teamwork, project planning, management, design",Education,"data analysis, problem solving, project planning, customer service, python, research",High,Intermediate
Principal Cloud Architect,"analytics, research, automation, project planning",Engineering,"management, design, problem solving, python, analytics, documentation",Medium,Beginner
Assistant UI Designer,"documentation, design, research, data analysis",Creative,"programming, documentation, communication, teamwork, networking, machine learning",High,Intermediate
Assistant General Physician,"security, communication, customer service, analytics",Hospitality,"python, communication, design, management, cloud computing, documentation",High,Intermediate
Assistant Veterinarian,"machine learning, documentation, research, management",IT,"automation, programming, data analysis, teamwork, management, research",High,Beginner
Data Scientist,"management, project planning, analytics, data analysis",Engineering,"documentation, python, management, project planning, programming, communication",High,Intermediate
Principal Dermatologist,"management, data analysis, cloud computing, design",Education,"management, customer service, analytics, automation, cloud computing, machine learning",High,Beginner
Senior Optometrist,"problem solving, python, data analysis, machine learning",Education,"management, customer service, security, networking, teamwork, project planning",Medium,Advanced
Senior Pediatrician,"analytics, programming, automation, networking",Business,"documentation, networking, cloud computing, design, communication, analytics",High,Intermediate
Cardiologist,"data analysis, python, management, networking",Business,"management, data analysis, customer service, programming, networking, security",Medium,Beginner
Junior Embedded Systems Engineer,"teamwork, communication, security, analytics",Business,"python, data analysis, networking, documentation, teamwork, customer service",Medium,Advanced
Lead Network Administrator,"analytics, programming, data analysis, project planning",Education,"customer service, design, communication, cloud computing, data analysis, machine learning",High,Advanced
Principal Medical Laboratory Technician,"communication, python, documentation, data analysis",IT,"customer service, automation, machine learning, programming, data analysis, management",Medium,Beginner
Lead Pathologist,"networking, analytics, problem solving, data analysis",Healthcare,"automation, documentation, programming, cloud computing, communication, project planning",Medium,Intermediate
Anesthesiologist,"documentation, problem solving, python, analytics",Agriculture,"project planning, research, documentation, machine learning, programming, communication",High,Intermediate
Junior Game Developer,"analytics, problem solving, programming, documentation",Business,"problem solving, networking, design, cloud computing, machine learning, data analysis",High,Intermediate
Lead Respiratory Therapist,"automation, data analysis, documentation, customer service",Education,"design, python, management, communication, automation, problem solving",Medium,Intermediate
Lead Cybersecurity Analyst,"research, project planning, data analysis, documentation",IT,"design, programming, machine learning, analytics, automation, data analysis",High,Beginner
Junior Data Engineer,"design, programming, project planning, customer service",Construction,"security, automation, analytics, problem solving, project planning, data analysis",High,Beginner
Assistant Web Designer,"cloud computing, security, design, networking",Construction,"python, data analysis, problem solving, security, networking, machine learning",Medium,Intermediate
Assistant Ophthalmologist,"programming, customer service, analytics, data analysis",Hospitality,"management, teamwork, documentation, automation, problem solving, data analysis",High,Beginner
Senior Computer Hardware Engineer,"management, machine learning, problem solving, data analysis",Healthcare,"documentation, design, security, research, analytics, customer service",Medium,Intermediate
Assistant Dermatologist,"management, programming, design, cloud computing",Government,"analytics, documentation, customer service, cloud computing, management, programming",Medium,Beginner
Senior Nurse Practitioner,"documentation, analytics, teamwork, machine learning",Government,"customer service, python, automation, management, data analysis, project planning",Medium,Beginner
Senior Security Engineer,"cloud computing, project planning, problem solving, documentation",Government,"data analysis, design, communication, programming, cloud computing, machine learning",Medium,Intermediate
Lead QA Engineer,"research, documentation, automation, design",Education,"programming, research, networking, communication, python, teamwork",High,Beginner
Junior Computer Programmer,"problem solving, cloud computing, research, networking",Construction,"security, research, management, project planning, customer service, documentation",Medium,Intermediate
Principal Cloud Engineer,"design, communication, python, data analysis",Government,"project planning, security, automation, research, teamwork, networking",High,Intermediate
Principal Web Developer,"security, research, machine learning, python",Government,"programming, machine learning, design, networking, problem solving, security",High,Advanced
Lead Audiologist,"teamwork, customer service, python, machine learning",Business,"networking, communication, data analysis, analytics, project planning, problem solving",High,Intermediate
Assistant Medical Assistant,"problem solving, communication, analytics, project planning",Construction,"data analysis, networking, security, management, communication, customer service",Medium,Intermediate
Assistant Android Developer,"customer service, management, analytics, machine learning",Healthcare,"automation, communication, programming, python, design, security",Medium,Intermediate
Lead Family Physician,"machine learning, customer service, management, data analysis",Construction,"data analysis, analytics, programming, automation, documentation, customer service",High,Intermediate
Junior Audiologist,"security, management, python, analytics",Engineering,"networking, documentation, data analysis, research, customer service, analytics",Medium,Advanced
Junior UX Designer,"problem solving, programming, customer service, teamwork",Agriculture,"analytics, customer service, machine learning, python, project planning, problem solving",High,Advanced
Optometrist,"machine learning, networking, cloud computing, customer service",Education,"python, machine learning, teamwork, analytics, security, communication",Medium,Intermediate
Principal QA Engineer,"project planning, python, security, documentation",Transport,"teamwork, cloud computing, machine learning, documentation, customer service, security",Medium,Beginner
Microbiologist,"machine learning, management, analytics, communication",Engineering,"python, design, teamwork, problem solving, programming, automation",High,Advanced
AR/VR Developer,"python, analytics, design, problem solving",IT,"documentation, data analysis, teamwork, project planning, machine learning, problem solving",High,Advanced
Neurologist,"customer service, data analysis, project planning, teamwork",Government,"project planning, data analysis, teamwork, management, documentation, design",High,Advanced
Principal IT Consultant,"programming, customer service, communication, security",Engineering,"design, automation, data analysis, analytics, networking, communication",High,Advanced
Junior Anesthesiologist,"problem solving, analytics, research, documentation",Hospitality,"project planning, programming, management, design, customer service, networking",Medium,Intermediate
Senior Psychiatrist,"communication, security, python, management",Government,"automation, security, management, communication, networking, problem solving",High,Beginner
Junior Psychiatrist,"teamwork, communication, programming, python",IT,"security, machine learning, networking, design, cloud computing, automation",High,Intermediate
Principal Computer Hardware Engineer,"automation, machine learning, project planning, data analysis",Education,"cloud computing, documentation, communication, problem solving, python, project planning",High,Advanced
Senior Physiotherapist,"networking, cloud computing, machine learning, project planning",Construction,"research, cloud computing, communication, design, data analysis, analytics",Medium,Beginner
Junior Dentist,"documentation, cloud computing, management, research",Construction,"design, machine learning, communication, python, documentation, programming",Medium,Beginner
Lead Blockchain Developer,"python, cloud computing, project planning, research",Engineering,"design, problem solving, project planning, research, documentation, data analysis",High,Intermediate
Lead AI Engineer,"design, problem solving, cloud computing, research",IT,"python, documentation, teamwork, automation, project planning, security",Medium,Intermediate
IT Consultant,"cloud computing, python, communication, customer service",Creative,"documentation, management, customer service, teamwork, data analysis, communication",Medium,Intermediate
Data Analyst,"management, project planning, documentation, design",Misc,"customer service, networking, python, problem solving, programming, teamwork",High,Advanced
Cloud Engineer,"python, machine learning, data analysis, networking",Business,"problem solving, automation, python, communication, project planning, cloud computing",High,Intermediate
Assistant Site Reliability Engineer,"machine learning, python, security, problem solving",Creative,"teamwork, data analysis, automation, documentation, programming, design",High,Beginner
Principal Nurse Practitioner,"networking, customer service, management, communication",Government,"programming, problem solving, security, automation, design, project planning",Medium,Advanced
Blockchain Developer,"research, python, data analysis, problem solving",Creative,"data analysis, documentation, machine learning, communication, automation, security",High,Advanced
Lead Data Engineer,"machine learning, design, project planning, security",Transport,"python, problem solving, customer service, security, design, machine learning",High,Beginner
Principal Computer Network Architect,"programming, project planning, cloud computing, machine learning",Healthcare,"networking, data analysis, problem solving, customer service, programming, communication",Medium,Beginner
Junior Physical Therapist,"data analysis, problem solving, machine learning, documentation",Creative,"management, teamwork, communication, programming, analytics, cloud computing",High,Beginner
Systems Administrator,"teamwork, documentation, machine learning, security",Government,"project planning, automation, python, data analysis, communication, research",Medium,Advanced
Principal Android Developer,"communication, problem solving, automation, data analysis",Creative,"problem solving, data analysis, management, research, teamwork, python",Medium,Advanced
Assistant Nurse,"cloud computing, networking, management, research",Healthcare,"python, teamwork, customer service, project planning, documentation, research",High,Intermediate
Senior Web Designer,"python, data analysis, management, analytics",Agriculture,"customer service, communication, data analysis, python, teamwork, automation",Medium,Advanced
Computer Programmer,"communication, cloud computing, automation, problem solving",Creative,"documentation, design, communication, security, teamwork, analytics",High,Advanced
Junior Web Designer,"communication, programming, security, python",Creative,"problem solving, communication, teamwork, management, design, customer service",Medium,Beginner
Principal Paramedic,"customer service, problem solving, data analysis, analytics",Agriculture,"security, automation, machine learning, design, management, networking",Medium,Beginner
Assistant Optician,"python, cloud computing, security, machine learning",Misc,"research, data analysis, documentation, python, programming, teamwork",Medium,Beginner
Assistant Urologist,"research, python, problem solving, security",Government,"problem solving, project planning, customer service, documentation, management, automation",Medium,Intermediate
Lead Systems Administrator,"communication, research, networking, cloud computing",Transport,"management, programming, research, design, teamwork, project planning",High,Beginner
Machine Learning Engineer,"networking, data analysis, communication, analytics",Creative,"customer service, problem solving, cloud computing, management, automation, design",High,Advanced
Principal Business Intelligence Analyst,"research, security, networking, communication",Construction,"problem solving, documentation, security, data analysis, machine learning, teamwork",Medium,Intermediate
Principal Physical Therapist,"python, data analysis, project planning, problem solving",Misc,"problem solving, management, analytics, networking, security, programming",Medium,Beginner
Algorithm Engineer,"machine learning, data analysis, cloud computing, customer service",Construction,"analytics, cloud computing, design, automation, customer service, data analysis",Medium,Beginner
Site Reliability Engineer,"design, problem solving, analytics, communication",Construction,"analytics, data analysis, design, security, automation, problem solving",High,Intermediate
Assistant Surgeon,"problem solving, python, security, communication",Business,"automation, teamwork, project planning, documentation, research, design",High,Intermediate
Senior Optician,"security, management, design, automation",Healthcare,"networking, communication, customer service, teamwork, machine learning, analytics",Medium,Advanced
Junior Network Engineer,"communication, programming, data analysis, analytics",Creative,"design, programming, project planning, research, data analysis, automation",Medium,Intermediate
Principal Pediatrician,"design, problem solving, communication, project planning",Construction,"teamwork, analytics, machine learning, design, cloud computing, automation",Medium,Intermediate
Lead UX Designer,"python, documentation, machine learning, programming",Construction,"security, data analysis, programming, automation, analytics, project planning",High,Intermediate
Lead Embedded Systems Engineer,"security, communication, analytics, data analysis",Misc,"documentation, security, design, research, cloud computing, teamwork",High,Advanced
Junior Hospital Administrator,"automation, cloud computing, management, communication",Education,"analytics, machine learning, design, security, project planning, data analysis",High,Intermediate
Senior Game Developer,"automation, project planning, documentation, machine learning",Education,"customer service, problem solving, management, research, cloud computing, data analysis",High,Intermediate
Psychiatrist,"automation, customer service, cloud computing, networking",Hospitality,"python, customer service, documentation, networking, security, communication",High,Advanced
Senior Systems Administrator,"cloud computing, automation, programming, security",IT,"teamwork, machine learning, management, project planning, documentation, cloud computing",High,Intermediate
Lead Robotics Engineer,"documentation, security, automation, customer service",Government,"communication, cloud computing, design, teamwork, management, machine learning",Medium,Beginner
Lead Video Game Tester,"documentation, security, design, analytics",Misc,"cloud computing, automation, python, research, machine learning, data analysis",Medium,Intermediate
Respiratory Therapist,"machine learning, management, problem solving, documentation",Agriculture,"research, automation, analytics, networking, machine learning, project planning",Medium,Beginner
Principal Nutritionist,"programming, teamwork, python, management",Creative,"documentation, python, customer service, communication, management, data analysis",Medium,Advanced
Principal Full Stack Developer,"analytics, data analysis, machine learning, problem solving",Misc,"cloud computing, analytics, programming, teamwork, customer service, design",Medium,Beginner
Lead Dermatologist,"communication, research, automation, machine learning",IT,"problem solving, networking, project planning, machine learning, design, customer service",High,Advanced
Assistant Microbiologist,"cloud computing, data analysis, communication, customer service",Misc,"communication, customer service, security, documentation, programming, problem solving",Medium,Advanced
Lead Optician,"management, networking, analytics, research",Construction,"communication, problem solving, teamwork, project planning, automation, programming",High,Advanced
Pharmacist,"networking, analytics, programming, management",Government,"project planning, python, data analysis, design, customer service, security",High,Intermediate
Lead Epidemiologist,"communication, python, data analysis, documentation",Creative,"networking, automation, communication, project planning, teamwork, cloud computing",High,Beginner
Junior Cloud Architect,"documentation, teamwork, data analysis, cloud computing",Engineering,"python, machine learning, communication, teamwork, design, management",High,Intermediate
Lead Immunologist,"machine learning, design, management, communication",Construction,"python, networking, machine learning, problem solving, programming, research",Medium,Beginner
Assistant Audiologist,"project planning, management, automation, data analysis",Education,"programming, analytics, teamwork, documentation, security, cloud computing",Medium,Advanced
Principal Data Scientist,"security, communication, teamwork, project planning",Business,"data analysis, automation, communication, customer service, project planning, management",Medium,Beginner
Junior Emergency Medical Technician,"security, project planning, automation, design",IT,"security, networking, management, automation, teamwork, cloud computing",High,Beginner
Principal Video Game Tester,"programming, automation, communication, project planning",Transport,"design, documentation, research, analytics, project planning, programming",High,Intermediate
Lead Nurse,"programming, networking, security, python",Hospitality,"analytics, machine learning, cloud computing, teamwork, management, research",High,Beginner
Assistant Systems Administrator,"customer service, data analysis, design, automation",Hospitality,"documentation, machine learning, teamwork, programming, python, management",Medium,Intermediate
Principal Data Architect,"design, problem solving, management, programming",Transport,"teamwork, communication, automation, problem solving, python, customer service",High,Intermediate
Junior Cybersecurity Analyst,"customer service, project planning, machine learning, analytics",Education,"machine learning, problem solving, programming, analytics, teamwork, project planning",High,Intermediate
Assistant Video Game Tester,"python, management, analytics, automation",Government,"research, management, machine learning, communication, programming, python",High,Beginner
Ethical Hacker,"communication, design, research, problem solving",IT,"management, data analysis, documentation, project planning, analytics, teamwork",Medium,Advanced
Full Stack Developer,"project planning, teamwork, design, documentation",Business,"security, machine learning, cloud computing, problem solving, analytics, data analysis",High,Advanced
Senior Dentist,"automation, management, project planning, security",Transport,"analytics, python, management, design, problem solving, documentation",High,Intermediate
Principal Big Data Engineer,"analytics, problem solving, networking, documentation",IT,"research, programming, customer service, management, documentation, design",Medium,Intermediate
Game Developer,"data analysis, programming, automation, customer service",Government,"teamwork, research, design, management, data analysis, documentation",Medium,Intermediate
Junior Full Stack Developer,"security, project planning, data analysis, documentation",Business,"security, problem solving, cloud computing, machine learning, networking, documentation",High,Advanced
Junior QA Engineer,"design, data analysis, programming, documentation",Business,"management, cloud computing, problem solving, programming, research, security",Medium,Beginner
UI Designer,"programming, python, management, documentation",Misc,"customer service, design, programming, cloud computing, machine learning, problem solving",Medium,Intermediate
Senior Pathologist,"research, design, python, security",Government,"python, problem solving, management, security, programming, design",High,Intermediate
Senior Occupational Therapist,"research, problem solving, analytics, management",Healthcare,"research, analytics, teamwork, networking, communication, cloud computing",Medium,Beginner
Lead Home Health Aide,"design, documentation, communication, teamwork",Engineering,"machine learning, project planning, programming, data analysis, communication, documentation",High,Beginner
Endocrinologist,"documentation, data analysis, research, python",Construction,"analytics, design, cloud computing, security, management, networking",Medium,Beginner
Senior Medical Laboratory Technician,"analytics, documentation, teamwork, management",Construction,"project planning, data analysis, networking, python, automation, security",High,Advanced
Assistant Paramedic,"security, management, analytics, communication",Misc,"networking, management, python, cloud computing, research, machine learning",Medium,Beginner
Junior Immunologist,"problem solving, security, python, customer service",Hospitality,"security, documentation, automation, teamwork, problem solving, analytics",High,Beginner
Lead Dietitian,"python, automation, cloud computing, analytics",Government,"management, problem solving, research, programming, networking, documentation",Medium,Advanced
Junior Epidemiologist,"management, networking, project planning, automation",Creative,"project planning, management, networking, automation, cloud computing, python",High,Intermediate
Mobile App Developer,"python, analytics, teamwork, security",Agriculture,"automation, management, problem solving, data analysis, machine learning, customer service",Medium,Beginner
Junior AI Engineer,"problem solving, machine learning, teamwork, management",Transport,"security, programming, problem solving, management, python, project planning",Medium,Advanced
Assistant Data Engineer,"cloud computing, machine learning, problem solving, security",Misc,"problem solving, teamwork, cloud computing, python, design, communication",High,Advanced
Senior DevOps Engineer,"networking, documentation, research, customer service",IT,"teamwork, programming, documentation, machine learning, management, project planning",High,Advanced
Senior Ethical Hacker,"customer service, management, teamwork, networking",Engineering,"teamwork, project planning, data analysis, networking, management, machine learning",Medium,Intermediate
Senior Gastroenterologist,"design, customer service, teamwork, data analysis",Agriculture,"data analysis, cloud computing, research, machine learning, programming, analytics",Medium,Beginner
Lead Systems Analyst,"automation, programming, data analysis, machine learning",Healthcare,"project planning, communication, programming, data analysis, automation, design",High,Beginner
Junior Nurse,"research, project planning, networking, cloud computing",IT,"project planning, documentation, programming, communication, cloud computing, python",High,Beginner
Junior Algorithm Engineer,"data analysis, automation, project planning, research",IT,"customer service, automation, documentation, python, project planning, teamwork",Medium,Intermediate
Junior Machine Learning Engineer,"programming, research, management, documentation",Transport,"machine learning, cloud computing, problem solving, management, communication, programming",Medium,Beginner
Junior Web Developer,"python, machine learning, security, teamwork",Healthcare,"communication, automation, research, project planning, security, teamwork",High,Advanced
Junior IT Manager,"documentation, machine learning, research, automation",Agriculture,"customer service, data analysis, communication, automation, management, documentation",High,Intermediate
Lead Ophthalmologist,"networking, data analysis, research, customer service",Government,"customer service, programming, project planning, documentation, problem solving, automation",High,Intermediate
Dietitian,"management, python, analytics, research",Hospitality,"project planning, automation, machine learning, documentation, teamwork, communication",Medium,Intermediate
Assistant Psychiatrist,"communication, programming, problem solving, automation",Hospitality,"teamwork, networking, design, documentation, management, analytics",Medium,Beginner
Lead Paramedic,"communication, customer service, machine learning, project planning",Construction,"security, analytics, programming, customer service, networking, machine learning",High,Advanced
Junior Computer Network Architect,"machine learning, programming, documentation, project planning",Creative,"communication, research, teamwork, automation, problem solving, python",High,Advanced
Senior Cybersecurity Analyst,"research, customer service, analytics, problem solving",Misc,"analytics, data analysis, machine learning, cloud computing, problem solving, communication",Medium,Intermediate
Senior Psychologist,"management, analytics, machine learning, customer service",IT,"problem solving, security, python, communication, design, data analysis",High,Intermediate
Assistant Business Intelligence Analyst,"security, teamwork, communication, documentation",Misc,"management, networking, teamwork, documentation, project planning, design",High,Intermediate
Junior Psychologist,"research, problem solving, management, python",Agriculture,"cloud computing, problem solving, automation, communication, security, research",Medium,Beginner
Senior Dietitian,"machine learning, networking, project planning, teamwork",Misc,"management, problem solving, programming, project planning, automation, research",Medium,Intermediate
Assistant Cardiologist,"design, automation, cloud computing, teamwork",Transport,"machine learning, problem solving, customer service, automation, cloud computing, communication",High,Intermediate
Physiotherapist,"programming, analytics, networking, problem solving",Healthcare,"security, problem solving, machine learning, python, automation, programming",High,Beginner
